case_id,group_id,split,kind,category,evidence
T001,text-00,dev,text,exact_attributes,source_derived
T002,text-00,dev,text,wording_variant,source_derived
T003,text-01,test,text,exact_attributes,source_derived
T004,text-01,test,text,wording_variant,source_derived
T005,text-02,dev,text,exact_attributes,source_derived
T006,text-02,dev,text,wording_variant,source_derived
T007,text-03,dev,text,exact_attributes,source_derived
T008,text-03,dev,text,wording_variant,source_derived
T009,text-04,test,text,exact_attributes,source_derived
T010,text-04,test,text,wording_variant,source_derived
T011,text-05,dev,text,exact_attributes,source_derived
T012,text-05,dev,text,wording_variant,source_derived
T013,text-06,dev,text,exact_attributes,source_derived
T014,text-06,dev,text,wording_variant,source_derived
T015,text-07,dev,text,exact_attributes,source_derived
T016,text-07,dev,text,wording_variant,source_derived
T017,text-08,test,text,exact_attributes,source_derived
T018,text-08,test,text,wording_variant,source_derived
T019,text-09,dev,text,exact_attributes,source_derived
T020,text-09,dev,text,wording_variant,source_derived
T021,text-10,dev,text,exact_attributes,source_derived
T022,text-10,dev,text,catalog_no_match,source_derived
T023,text-11,test,text,exact_attributes,source_derived
T024,text-11,test,text,catalog_no_match,source_derived
T025,text-12,dev,text,exact_attributes,source_derived
T026,text-12,dev,text,catalog_no_match,source_derived
T027,text-13,dev,text,exact_attributes,source_derived
T028,text-13,dev,text,catalog_no_match,source_derived
T029,text-14,dev,text,exact_attributes,source_derived
T030,text-14,dev,text,catalog_no_match,source_derived
T031,text-15,dev,text,exact_attributes,source_derived
T032,text-15,dev,text,catalog_no_match,source_derived
T033,text-16,dev,text,exact_attributes,source_derived
T034,text-16,dev,text,catalog_no_match,source_derived
T035,text-17,test,text,exact_attributes,source_derived
T036,text-17,test,text,catalog_no_match,source_derived
T037,text-18,dev,text,exact_attributes,source_derived
T038,text-18,dev,text,catalog_no_match,source_derived
T039,text-19,test,text,exact_attributes,source_derived
T040,text-19,test,text,catalog_no_match,source_derived
I001,image-00,test,image,exact_image_lookup,source_derived
I002,image-00,test,image,derived_center_crop,source_derived
I003,image-00,test,image,image_plus_text_alternative,pending_review
I004,image-01,test,image,exact_image_lookup,source_derived
I005,image-01,test,image,derived_center_crop,source_derived
I006,image-01,test,image,image_plus_text_alternative,pending_review
I007,image-02,dev,image,exact_image_lookup,source_derived
I008,image-02,dev,image,derived_center_crop,source_derived
I009,image-02,dev,image,image_plus_text_alternative,pending_review
I010,image-03,dev,image,exact_image_lookup,source_derived
I011,image-03,dev,image,derived_center_crop,source_derived
I012,image-03,dev,image,image_plus_text_alternative,pending_review
I013,image-04,dev,image,exact_image_lookup,source_derived
I014,image-04,dev,image,derived_center_crop,source_derived
I015,image-04,dev,image,image_plus_text_alternative,pending_review
I016,image-05,dev,image,exact_image_lookup,source_derived
I017,image-05,dev,image,derived_center_crop,source_derived
I018,image-05,dev,image,image_plus_text_alternative,pending_review
I019,image-06,dev,image,exact_image_lookup,source_derived
I020,image-06,dev,image,derived_center_crop,source_derived
I021,image-06,dev,image,image_plus_text_alternative,pending_review
I022,image-07,dev,image,exact_image_lookup,source_derived
I023,image-07,dev,image,derived_center_crop,source_derived
I024,image-07,dev,image,image_plus_text_alternative,pending_review
I025,image-08,test,image,exact_image_lookup,source_derived
I026,image-08,test,image,derived_center_crop,source_derived
I027,image-08,test,image,image_plus_text_alternative,pending_review
I028,image-09,dev,image,exact_image_lookup,source_derived
I029,image-09,dev,image,derived_center_crop,source_derived
I030,image-09,dev,image,image_plus_text_alternative,pending_review
C001,conversation-00,test,conversation,retain_outfit,source_derived
C002,conversation-00,test,conversation,replace_bottom_keep_top,source_derived
C003,conversation-00,test,conversation,unavailable_size,source_derived
C004,conversation-01,dev,conversation,retain_outfit,source_derived
C005,conversation-01,dev,conversation,replace_bottom_keep_top,source_derived
C006,conversation-01,dev,conversation,unavailable_size,source_derived
C007,conversation-02,dev,conversation,retain_outfit,source_derived
C008,conversation-02,dev,conversation,replace_bottom_keep_top,source_derived
C009,conversation-02,dev,conversation,unavailable_size,source_derived
C010,conversation-03,dev,conversation,retain_outfit,source_derived
C011,conversation-03,dev,conversation,replace_bottom_keep_top,source_derived
C012,conversation-03,dev,conversation,unavailable_size,source_derived
C013,conversation-04,dev,conversation,retain_outfit,source_derived
C014,conversation-04,dev,conversation,replace_bottom_keep_top,source_derived
C015,conversation-04,dev,conversation,unavailable_size,source_derived
C016,conversation-05,dev,conversation,retain_outfit,source_derived
C017,conversation-05,dev,conversation,replace_bottom_keep_top,source_derived
C018,conversation-05,dev,conversation,unavailable_size,source_derived
C019,conversation-06,dev,conversation,retain_outfit,source_derived
C020,conversation-06,dev,conversation,replace_bottom_keep_top,source_derived
C021,conversation-06,dev,conversation,unavailable_size,source_derived
C022,conversation-07,dev,conversation,retain_outfit,source_derived
C023,conversation-07,dev,conversation,replace_bottom_keep_top,source_derived
C024,conversation-07,dev,conversation,unavailable_size,source_derived
C025,conversation-08,test,conversation,retain_outfit,source_derived
C026,conversation-08,test,conversation,replace_bottom_keep_top,source_derived
C027,conversation-08,test,conversation,unavailable_size,source_derived
C028,conversation-09,test,conversation,retain_outfit,source_derived
C029,conversation-09,test,conversation,replace_bottom_keep_top,source_derived
C030,conversation-09,test,conversation,unavailable_size,source_derived
B001,boundary-00,test,boundary,exact_budget_valid,source_derived
B002,boundary-00,test,boundary,over_budget,source_derived
B003,boundary-01,dev,boundary,exact_budget_valid,source_derived
B004,boundary-01,dev,boundary,unknown_id,source_derived
B005,boundary-02,dev,boundary,exact_budget_valid,source_derived
B006,boundary-02,dev,boundary,missing_inspection,source_derived
B007,boundary-03,dev,boundary,exact_budget_valid,source_derived
B008,boundary-03,dev,boundary,zero_stock,source_derived
B009,boundary-04,test,boundary,exact_budget_valid,source_derived
B010,boundary-04,test,boundary,unknown_stock,source_derived
B011,boundary-05,dev,boundary,exact_budget_valid,source_derived
B012,boundary-05,dev,boundary,duplicate_id,source_derived
B013,boundary-06,dev,boundary,exact_budget_valid,source_derived
B014,boundary-06,dev,boundary,missing_bottom,source_derived
B015,boundary-07,dev,boundary,exact_budget_valid,source_derived
B016,boundary-07,dev,boundary,unit_mismatch,source_derived
B017,boundary-08,dev,boundary,exact_budget_valid,source_derived
B018,boundary-08,dev,boundary,fabric_conflict,source_derived
B019,boundary-09,test,boundary,exact_budget_valid,source_derived
B020,boundary-09,test,boundary,wrong_outfit_structure,source_derived
